id,country_id,name
1,1,Andaman and Nicobar Islands
2,1,Andhra Pradesh
3,1,Arunachal Pradesh
4,1,Assam
5,1,Bihar
6,1,Chandigarh
7,1,Chhattisgarh
8,1,Dadra and Nagar Haveli
9,1,Daman and Diu
10,1,Delhi
11,1,Goa
12,1,Gujarat
13,1,Haryana
14,1,Himachal Pradesh
15,1,Jammu and Kashmir
16,1,Jharkhand
17,1,Karnataka
18,1,Kerala
19,1,Lakshadweep
20,1,Madhya Pradesh
21,1,Maharashtra
22,1,Manipurβ
23,1,Meghalaya
24,1,Mizoram
25,1,Nagaland
26,1,Orissa
27,1,Pondicherry
28,1,Punjab
29,1,Rajasthan
30,1,Sikkim
31,1,Tamil Nadu
32,1,Tripura
33,1,Uttar Pradesh
34,1,Uttarakhand
35,1,West Bengal
